tau,TAMSD_with_walls
22.0,27.938285349220795
22.05,27.939107013966385
22.1,27.939815283814028
22.150000000000002,27.940440660437158
22.200000000000003,27.94020093755228
22.25,27.93932006239471
22.3,27.938184543178934
22.35,27.936941051784206
22.400000000000002,27.93526143569939
22.450000000000003,27.93338423785302
22.5,27.931459672436198
22.55,27.929608972787094
22.6,27.92772747673994
22.650000000000002,27.92509428742361
22.700000000000003,27.92192001393917
22.75,27.91872528871099
22.8,27.914968980963508
22.85,27.910585528758695
22.900000000000002,27.9055564032724
22.950000000000003,27.899812391559603
23.0,27.893922735025033
23.05,27.887165519758693
23.1,27.87983554974485
23.150000000000002,27.871553372873095
23.200000000000003,27.86269000025844
23.25,27.852714061265957
23.3,27.842543442787008
23.35,27.832108250051775
23.400000000000002,27.821329920945285
23.450000000000003,27.80952129321783
23.5,27.797132977127834
23.55,27.784054670726128
23.6,27.770077574712204
23.650000000000002,27.75563455677762
23.700000000000003,27.740650198537566
23.75,27.725176300418845
23.8,27.708942973168735
23.85,27.692214908022155
23.900000000000002,27.674391651751844
23.950000000000003,27.65555463157642
24.0,27.636119703115945
24.05,27.61619400330456
24.1,27.596103100709435
24.150000000000002,27.575391656280484
24.200000000000003,27.554258051825617
24.25,27.53255685553046
24.3,27.510649043263857
24.35,27.487780393890855
24.400000000000002,27.464021104814403
24.450000000000003,27.43995031222834
24.5,27.415342261769855
24.55,27.389225670922613
24.6,27.36254909456894
24.650000000000002,27.335273625728682
24.700000000000003,27.308092277435858
24.75,27.28022813898578
24.8,27.251814715688017
24.85,27.222609038355934
24.900000000000002,27.192719620434627
24.950000000000003,27.162145766299
25.0,27.130857974850166
25.05,27.098754901309817
25.1,27.06587766455007
25.150000000000002,27.032322423052292
25.200000000000003,26.99818309643811
25.25,26.96343888899208
25.3,26.92798881189149
25.35,26.892354799820367
25.400000000000002,26.856329722877312
25.450000000000003,26.819659274187355
25.5,26.782829223085546
25.55,26.74536014209098
25.6,26.70774597601398
25.650000000000002,26.669672598845146
25.700000000000003,26.631075400475048
25.75,26.592771261916134
25.8,26.554602253502136
25.85,26.516349503522026
25.900000000000002,26.47724868062555
25.950000000000003,26.43793773191049
26.0,26.39830011167075
26.05,26.358584955687256
26.1,26.31854485069448
26.150000000000002,26.27854713682922
26.200000000000003,26.238170658807174
26.25,26.19781018830308
26.3,26.15709409030004
26.35,26.11600790669595
26.400000000000002,26.07517614087817
26.450000000000003,26.034132226501196
26.5,25.993022269341985
